"表章項目 コード","表章項目","時間軸（四半期） コード","時間軸（四半期）","/国内総生産_名目原系列","国内総生産(支出側)"
"12","前年同期比【％】","1995000103","1995年1～3月期","","1"
"12","前年同期比【％】","1995000406","1995年4～6月期","","2.2"
"12","前年同期比【％】","1995000709","1995年7～9月期","","2.4"
"12","前年同期比【％】","1995001012","1995年10～12月期","","3.1"
"12","前年同期比【％】","1996000103","1996年1～3月期","","3"
"12","前年同期比【％】","1996000406","1996年4～6月期","","3.1"
"12","前年同期比【％】","1996000709","1996年7～9月期","","2"
"12","前年同期比【％】","1996001012","1996年10～12月期","","2.3"
"12","前年同期比【％】","1997000103","1997年1～3月期","","2.4"
"12","前年同期比【％】","1997000406","1997年4～6月期","","1.8"
"12","前年同期比【％】","1997000709","1997年7～9月期","","1.7"
"12","前年同期比【％】","1997001012","1997年10～12月期","","0.6"
"12","前年同期比【％】","1998000103","1998年1～3月期","","-0.6"
"12","前年同期比【％】","1998000406","1998年4～6月期","","-1.2"
"12","前年同期比【％】","1998000709","1998年7～9月期","","-1.8"
"12","前年同期比【％】","1998001012","1998年10～12月期","","-1.1"
"12","前年同期比【％】","1999000103","1999年1～3月期","","-1.5"
"12","前年同期比【％】","1999000406","1999年4～6月期","","-1.1"
"12","前年同期比【％】","1999000709","1999年7～9月期","","-1.1"
"12","前年同期比【％】","1999001012","1999年10～12月期","","-2.5"
"12","前年同期比【％】","2000000103","2000年1～3月期","","1.8"
"12","前年同期比【％】","2000000406","2000年4～6月期","","1.2"
"12","前年同期比【％】","2000000709","2000年7～9月期","","1.2"
"12","前年同期比【％】","2000001012","2000年10～12月期","","1.2"
"12","前年同期比【％】","2001000103","2001年1～3月期","","1.4"
"12","前年同期比【％】","2001000406","2001年4～6月期","","0"
"12","前年同期比【％】","2001000709","2001年7～9月期","","-1.4"
"12","前年同期比【％】","2001001012","2001年10～12月期","","-2.6"
"12","前年同期比【％】","2002000103","2002年1～3月期","","-2.9"
"12","前年同期比【％】","2002000406","2002年4～6月期","","-1.7"
"12","前年同期比【％】","2002000709","2002年7～9月期","","-0.6"
"12","前年同期比【％】","2002001012","2002年10～12月期","","-0.2"
"12","前年同期比【％】","2003000103","2003年1～3月期","","-0.9"
"12","前年同期比【％】","2003000406","2003年4～6月期","","0.1"
"12","前年同期比【％】","2003000709","2003年7～9月期","","0"
"12","前年同期比【％】","2003001012","2003年10～12月期","","0.2"
"12","前年同期比【％】","2004000103","2004年1～3月期","","1.8"
"12","前年同期比【％】","2004000406","2004年4～6月期","","0.6"
"12","前年同期比【％】","2004000709","2004年7～9月期","","1.2"
"12","前年同期比【％】","2004001012","2004年10～12月期","","0.7"
"12","前年同期比【％】","2005000103","2005年1～3月期","","0.3"
"12","前年同期比【％】","2005000406","2005年4～6月期","","0.6"
"12","前年同期比【％】","2005000709","2005年7～9月期","","0.7"
"12","前年同期比【％】","2005001012","2005年10～12月期","","0.8"
"12","前年同期比【％】","2006000103","2006年1～3月期","","1.2"
"12","前年同期比【％】","2006000406","2006年4～6月期","","0.3"
"12","前年同期比【％】","2006000709","2006年7～9月期","","-0.4"
"12","前年同期比【％】","2006001012","2006年10～12月期","","1"
"12","前年同期比【％】","2007000103","2007年1～3月期","","1.7"
"12","前年同期比【％】","2007000406","2007年4～6月期","","1.4"
"12","前年同期比【％】","2007000709","2007年7～9月期","","1"
"12","前年同期比【％】","2007001012","2007年10～12月期","","-0.3"
"12","前年同期比【％】","2008000103","2008年1～3月期","","-0.6"
"12","前年同期比【％】","2008000406","2008年4～6月期","","-1.6"
"12","前年同期比【％】","2008000709","2008年7～9月期","","-2.3"
"12","前年同期比【％】","2008001012","2008年10～12月期","","-3.7"
"12","前年同期比【％】","2009000103","2009年1～3月期","","-8.6"
"12","前年同期比【％】","2009000406","2009年4～6月期","","-6.4"
"12","前年同期比【％】","2009000709","2009年7～9月期","","-5.4"
"12","前年同期比【％】","2009001012","2009年10～12月期","","-3.6"
"12","前年同期比【％】","2010000103","2010年1～3月期","","2.1"
"12","前年同期比【％】","2010000406","2010年4～6月期","","1.7"
"12","前年同期比【％】","2010000709","2010年7～9月期","","3.8"
"12","前年同期比【％】","2010001012","2010年10～12月期","","1.3"
"12","前年同期比【％】","2011000103","2011年1～3月期","","-0.8"
"12","前年同期比【％】","2011000406","2011年4～6月期","","-3"
"12","前年同期比【％】","2011000709","2011年7～9月期","","-2.1"
"12","前年同期比【％】","2011001012","2011年10～12月期","","-1.4"
"12","前年同期比【％】","2012000103","2012年1～3月期","","2.2"
"12","前年同期比【％】","2012000406","2012年4～6月期","","2"
"12","前年同期比【％】","2012000709","2012年7～9月期","","-0.8"
"12","前年同期比【％】","2012001012","2012年10～12月期","","-0.4"
"12","前年同期比【％】","2013000103","2013年1～3月期","","-0.5"
"12","前年同期比【％】","2013000406","2013年4～6月期","","1.5"
"12","前年同期比【％】","2013000709","2013年7～9月期","","2.9"
"12","前年同期比【％】","2013001012","2013年10～12月期","","2.7"
"12","前年同期比【％】","2014000103","2014年1～3月期","","3.3"
"12","前年同期比【％】","2014000406","2014年4～6月期","","2.1"
"12","前年同期比【％】","2014000709","2014年7～9月期","","1.2"
"12","前年同期比【％】","2014001012","2014年10～12月期","","1.9"
"12","前年同期比【％】","2015000103","2015年1～3月期","","3.4"
"12","前年同期比【％】","2015000406","2015年4～6月期","","3.8"
"12","前年同期比【％】","2015000709","2015年7～9月期","","3.8"
"12","前年同期比【％】","2015001012","2015年10～12月期","","2.6"
"12","前年同期比【％】","2016000103","2016年1～3月期","","1.3"
"12","前年同期比【％】","2016000406","2016年4～6月期","","0.7"
"12","前年同期比【％】","2016000709","2016年7～9月期","","0.4"
"12","前年同期比【％】","2016001012","2016年10～12月期","","1.1"
"12","前年同期比【％】","2017000103","2017年1～3月期","","0.6"
"12","前年同期比【％】","2017000406","2017年4～6月期","","1.5"
"12","前年同期比【％】","2017000709","2017年7～9月期","","2.3"
"12","前年同期比【％】","2017001012","2017年10～12月期","","2.4"
"12","前年同期比【％】","2018000103","2018年1～3月期","","1.7"
"12","前年同期比【％】","2018000406","2018年4～6月期","","1.4"
"12","前年同期比【％】","2018000709","2018年7～9月期","","-0.3"
"12","前年同期比【％】","2018001012","2018年10～12月期","","-0.1"
